
:diversos
velho,antigo,jovem,novo
ufsc,santa_catarina,uerj,rio_de_janeiro|rj
ufsc,santa_catarina,ufrn,rio_grande_do_norte|rn
ufsc,santa_catarina,puc-pr,paraná|pr
ufsc,santa_catarina,ufpb,paraíba|pb
ufsc,santa_catarina,ufes,espírito_santo|es
ufsc,santa_catarina,ufpa,pará
ufsc,santa_catarina,puc-campinas,campinas
ufsc,santa_catarina,ufam,amazonas
ufsc,santa_catarina,ufpi,piauí|pi
ufsc,santa_catarina,ufrpe,pernambuco

:datas
primeira_guerra_mundial,1914,segunda_guerra_mundial,1939
primeira_guerra_mundial,1914-1918,segunda_guerra_mundial,1939-1945
primeira_guerra_mundial,1914_1918,segunda_guerra_mundial,1939_1945
primeira_guerra_mundial,1918,segunda_guerra_mundial,1945
1776,independência_eua,1789,revolução_francesa
1776,eua,1789,frança
1776,estados_unidos_da_américa,1789,frança
1492,descobrimento_américa,1453,queda_constantinopla
1492,américa,1453,constantinopla
1969,lua,1957,lançamento_sputnik
1865,abolição_escravatura_eua,1888,abolição_escravatura_brasil
1865,eua,1888,brasil
1947,independência_índia,1960,independência_nigéria
1920,fundação_liga_nações,1945,fundação_nações_unidas
1848,revoluções_europeias,1917,revolução_russa
1848,europa,1917,rússia
1871,alemanha,1861,itália
1964,golpe_militar_brasil,1973,golpe_militar_chile
1964,brasil,1973,chile
1789,revolução_francesa,1791,revolução_haitiana
luís_xiv,frança,joão_vi,brasil

:gênero e pluralidade
irmão,irmã,pai,mãe
irmão,irmã,avô,avó
irmão,irmã,neto,neta
irmão,irmã,rei,rainha
irmão,irmã,tio,tia
irmãos,irmãs,homem,mulher
tio,tia,pai,mãe
tio,tia,avô,avó
homem,negro,mulher,negra
homem,branco,mulher,branca
homem,rei,mulher,rainha
homem,príncipe,mulher,princesa
homem,deus,mulher,deusa
homem,tio,mulher,tia
homem,ator,mulher,atriz
homem,noivo,mulher,noiva
homem,padrasto,mulher,madrasta
homem,irmão,mulher,irmã
homem,avô,mulher,avó
homem,pai,mulher,mãe
pai,marido,mulher,esposa
homem,marido,mulher,esposa
irmão,filho,irmã,filha
homem,enteado,mulher,enteada
escritor,homem,escritora,mulher

:política
decolonialidade,américa,eurocentrismo,europa
liberalismo,direita,socialismo,esquerda
marxismo,urss,liberalismo,eua
eixo,alemanha,aliados,inglaterra
deputados,câmara,senadores,senado
república,presidente,monarquia,rei
legislativo,vereador,executivo,prefeito
vargas,estado_novo,collor,redemocratização
integralismo,fascismo,socialismo,comunismo
fascismo,nazismo,socialismo,comunismo
democracia,liberdade,ditadura,opressão|censura
socialismo,igualdade,democracia,liberdade

:letras
mimese,imitação,representação,reflexo
grandeza,heroísmo,narrativa,aventura
crise,incerteza,estabilidade,certeza
singular,plural,feminino,masculino
sufixo,prefixo,fim,início
água,potável,alimento,comestível
água,potável,comida,comestível
feminino,masculino,lua,sol
conteúdo,semântica,forma,sintática
gênero,masculino,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
gênero,feminino,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
nome,sujeito,característica,adjetivo
beleza,belo,feiura,feio
letra,palavra,palavra,frase
acarretamento,implicação,anáfora,repetição
significado,significante,denotação,conotação
sinonímia,similar,antonímia,oposto
polissemia,múltiplos,homonímia,iguais
hiperonímia,geral,hiponímia,específico
ambiguidade,duplo_sentido,unívoco,claro
prática_pedagógica,ensino,aprendizagem,desenvolvimento
linguagem,expressão,comunicação,linguística
língua,dialeto,nacional,regional
escrita,texto,oralidade,voz
libras,gestos,fala,som|voz
discurso,argumentação,retórica,persuasão
semântica,significado,hermenêutica,interpretação
pragmática,uso,sintática,forma

:direito
clássicos,fundação,contemporaneidade,inovação
direito,guia,obstáculo,barreira
instrumento,utilidade,mudança_social,transformação
desigualdade,desamparo,igualdade,proteção
exclusão_social,desamparo,inclusão_social,proteção_jurídica
direitos_humanos,proteção,terrorismo,ataque|violência|opressão
exclusão,fechada,inclusão,aberta
lógica,racionalidade,interpretação_jurídica,coerência
problemas,obstáculos,interpretação_jurídica,soluções
hermenêutica_jurídica,guia,interpretação,compreensão
direito,interpretação,quebra-cabeça,encaixe
bússola,direção,interpretação,sentido
lógica,fundamento,interpretação_jurídica,decisão
integração,união,antinomias,contradições
problemas,desafios,interpretação_jurídica,superação
questões,investigação,interpretação_jurídica,esclarecimento
temas_contemporâneos,atualidade,interpretação_jurídica,debate
hermenêutica_jurídica,chave,interpretação,entendimento
interpretação_jurídica,labirinto,caminhos,saídas
vontade,propósito,interpretação,significado
constituição,base,árvore,raiz
poder_judiciário,guia,bússola,direção
jurisdição,fronteira,limite,território
ação,movimento,caminho,direção
defesa,proteção,escudo,segurança
processo,jornada,trajeto,destino
procedimento,passos,trilha,percurso
poder_judiciário,pilares,sustentação,apoio
tendências,inovação,vanguarda,modernidade
princípios,base,fundamento,essência
código,regra,norma,diretriz
código,processo,trâmite,andamento
constituição,base,alicerce,construção
reforma,ajuste,correção,aprimoramento
soberania,autonomia,independência,liberdade
direitos_fundamentais,garantias,proteção,segurança
democracia,participação,cidadania,igualdade
estado_de_direito,legalidade,justiça,ordem
direito_de_petição,solicitação,requerimento,demanda
teoria_da_constituição,fundamentos,doutrinas,estudos

:educação
escola,criança,universidade,jovem|adulto
escola,adolescente,universidade,jovem|adulto
pedagogia,área_de_conhecimento,paulo_freire,educador
mestre,professor,aluno,criança
mestre,professora,aluno,estudante
mestra,professora,aluna,estudante
mestres,professores,alunos,jovens
mestras,professoras,alunos,estudantes
educador,mestre,aluna,criança
educadores,mestres,alunas,crianças
educadora,mestra,aluna,jovem
educadoras,mestras,alunas,estudantes
paideia,educação,ensinar,profissão
formação,objetivo,ensino,método

:socio econômico
adam_smith,liberalismo,hans_morgenthau,realismo
adam_smith,liberalismo,marx,comunismo|socialismo
john_locke,liberalismo,john_herz,realismo
david_ricardo,liberalismo,lenin,marxismo
celso_furtado,brasil,george_arthur_akerlof,estados_unidos
maria_da_conceição_de_almeida_tavares,brasil,phillip_cagan,estados_unidos
fernando_haddad,brasil,paul_anthony_samuelson,estados_unidos|estados_unidos_da_américa|eua
celso_furtado,brasileiro,george_arthur_akerlof,estadunidense
maria_da_conceição_de_almeida_tavares,brasileira,phillip_cagan,estadunidense
fernando_haddad,brasileiro,paul_anthony_samuelson,estadunidense
nafta,estados_unidos_da_américa,mercosul,brasil|paraguai|uruguai|argentina
nafta,estados_unidos,mercosul,brasil|paraguai|uruguai|argentina
nafta,eua,mercosul,brasil|paraguai|uruguai|argentina
nafta,méxico,mercosul,brasil|paraguai|uruguai|argentina
nafta,canadá,mercosul,brasil|paraguai|uruguai|argentina
nafta,estados_unidos,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,estados_unidos_da_américa,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,eua,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,méxico,brics,brasil|rússia|china|índia|áfrica_do_sul
nafta,canadá,brics,brasil|rússia|china|índia|áfrica_do_sul
mercosul,brasil,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,paraguai,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,argentina,mcca,costa_rica|el_salvador|guatemala|honduras|nicarágua
mercosul,brasil,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
mercosul,paraguai,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
mercosul,argentina,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
tigres_asiáticos,hong_kong,g7,canadá|estados__unidos|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,cingapura,g7,canadá|estados_unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,coreia_do_sul,g7,canadá|estados__unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
tigres_asiáticos,taiwan,g7,canadá|estados_unidos|estados_unidos_da_américa|eua|reino_unido|frança|itália|alemanha|japão
brics,brasil,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,rússia,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,china,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,índia,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan
brics,áfrica_do_sul,tigres_asiáticos,hong_kong|cingapura|coreia_do_sul|taiwan

:exatas
python,alto,assembly,baixo
c,compilador,python,interpretador
programa,execução,erro,depuração
função,chamada,valor,retorno
função,chamar,valor,retornar
sensor,detecção,atuador,ação
software,mente,hardware,corpo
ram,temporário,hd,permanente
ram,temporário,ssd,permanente
cpu,processador,ram,memória
antivírus,malware,firewall,invasão
loop,repetir,condição,restringir
série,taylor,transformada,fourier|laplace
séries,taylor,transformada,fourier|laplace
série,fourier,transformada,laplace
séries,fourier,transformada,laplace
vetor,reto,senoide,curva
reta,vetor,curva,senoide|sinusoide
cálculo,números,texto,palavras
substituição,substituir,variável,variar
substituição,mudança,variável,variação
evolução,darwin,cálculo,leibniz|newton
física_clássica,newton,física_quântica,schredinger|planck
clássica,newton,quântica,schredinger|planck
laser,luz,radiação,onda
laser,luz,onda,radiação
fóton,luz,vibração,som
massa,gravidade,corpo,força
resistência,resistor,capacitância,capacitor
condutividade,material,indutância,indutor
capacitância,capacitor,indutância,indutor
resistência,resistor,indutância,indutor
calor,energia_térmica,trabalho,energia_mecânica
calor,térmica,trabalho,mecânica
refração,direção,difração,espalhamento
ohm,resistor,coulomb,carga_elétrica|elétron
incerteza,quântica,determinismo,clássica
incerteza,mecânica_quântica,determinismo,macânica_clássica
einstein,relatividade,newton,leis_de_newton|leis
lente,foco,espelho,imagem
fibra_ótica,luz,fio,eletricidade
massa,partícula,frequência,onda
luz,relatividade,massa,matéria
matéria_escura,invisível,energia_escura,expansão
matéria,invisível,energia,expansão
anã_branca,pequena,supernova,grande
lente_gravitacional,curvatura_da_luz,efeito_doppler,movimento
lente_gravitacional,curvatura,efeito_doppler,movimento
resistor,ohm,campo_magnético,tesla
próton,núcleo,elétron,nuvem
nêutron,núcleo,elétron,nuvem
elétrons,negativo,prótons,positivo
elétrons,negativa,prótons,positiva

:educação física
futebol,pernas,handebol,mãos
corrida,correr,caminhada,caminhar
salto,altura,musculação,peso
marcha,marchar,dança,dançar
atletismo,atleta,natação,nadador
ginástica,ginasta,futebol,futebolista
vôlei,rede,basquete,cesta
futebol,campo,vôlei,quadra
ensino,ensinar,jogo,jogar
ataque,ofensivo,defesa,defensivo
juiz,árbitro,técnico,professor
atacante,gol,goleiro,defesa
ensino,teoria,prática,execução
olimpíada,países,campeonato,nacional
olimpíada,países,campeonato,mundial
exercício,saúde,sedentarismo,doença
desenvolvimento,cognitivo,coordenação,motora
corpo,somático,mente,cognição
trabalho_científico,estrutura,metodologia,rigor
osteologia,osso,articulação,junção
osteologia,ossos,articulação,junções
miologia,músculo,movimento,contração
alongamento,flexibilidade,musculação,hipertrofia
sistema_respiratório,pulmão,sistema_circulatório,veias|sangue|coração|circulação
sistema_respiratório,pulmão,sistema_cardiovascular,veias|sangue|coração|circulação
sistema_circulatório,coração,circulação,sangue
sistema_nervoso,cérebro,neurônio,célula
formação,estratégia,drible,habilidade
lançamento,ataque,corte,defesa
esquema_tático,técnico,posição,jogador
falta,cartão,agressão,expulsão
vôlei,saque,futebol,tiro_de_meta
defesa,bloqueio,enterrar,cesta
pelé,brasil,maradona,argentina
neymar,brasil,messi,argentina
brizard,frança,giba,brasil
michael_jordan,basquete,garrincha,futebol
magic_johnson,basquete,rafael_nadal,tênis
jordan,basquete,pelé,futebol
jordan,basquete,maradona,futebol

:biológicas
lineu,taxonomia,darwin,evolução
ecologia,ambiente,zoologia,animal|animais
tecido,célula,sistema,órgão
adaptação,característica,evolução,seleção
origem,comum,seleção,evolução
seleção_natural,sobrevivência,variação,aptidão
seleção,sobrevivência,variação,aptidão
fator_biótico,vida,ecossistema,equilíbrio
fatores_bióticos,vida,ecossistema,equilíbrio
biótico,animal,abiótico,água
biótico,vegetal,abiótico,gases
biótico,bactéria,abiótico,radiação
evolução,teoria,biologia,ciência
campo,observação,dado,coleta
ambiente,organismo,nicho,ocupação
estratégia,adaptação,sobrevivência,reprodução
educação_ambiental,conscientização,prática,ecologista
prática_pedagógica,ensino,professor,aprendizado
reflexão,teoria,ensino,prática
ordem,família,gênero,espécie
reino,filo,classe,ordem
peixes,anfíbios,répteis,aves|mamíferos|cordados|animais
espécie,subespécie,raça,estirpe
estirpe,raça,subespécie,espécie
característica,fenótipo,marcador,genótipo
biodiversidade,diversidade,ecossistema,riqueza
carnívoro,carne,herbívoro,planta
mutualismo,parasitismo,comensalismo,competição|predação|amensalismo|neutralismo|protocooperação|simbiose|herbivorismo|facilitação|parasitoidismo
inseto,ser_vivo,glândula,órgão
mamífero,animal,pele,tecido
evolução,teoria,criacionismo,pseudociência
borboleta,inseto,baleia,ser_vivo
dia,claro,noite,escuro
leão,selva,urso,floresta
lagoa,doce,mar,salgada
rio,doce,mar,salgada
folha,árvore,onda,mar|oceano
flor,jardim,árvore,floresta
planta,verde,céu,azul
sol,dia,lua,noite
flor,primavera,neve,inverno
calor,fogo,frio,gelo
frio,inverno,calor,verão
cidade,urbano,campo,rural
noite,lua,dia,sol
oceano,água,deserto,areia
rápido,lebre,lento,tartaruga
alto,montanha,baixo,vale
peixe,água,pássaro,céu
gato,pelo,peixe,escama
galinha,bico,cachorro,boca
pássaro,pena,cachorro,pelo
sapo,anfíbio,macaco,mamífero
cobra,réptil,aranha,aracnídeo
conífera,temperado,palmeira,tropical
coração,amor,cérebro,pensamento
feliz,alegria,triste,tristeza
tristeza,lágrima,felicidade,sorriso
cego,escuro,surdo,silêncio
pé,perna,mão,braço
olho,cabeça,umbigo,barriga
olho,chorar,boca,salivar
intestino,digestivo,pulmão,respiratório
cabeludo,careca,vestido,pelado|despido
cabeludo,calvo,vestido,despido|pelado
braço,cotovelo,perna,joelho
osso,cálcio,músculo,proteína
olho,ver,ouvido,ouvir
boca,paladar,nariz,olfato
nariz,olfato,olho,visão
pele,tato,boca,paladar
dente,branco,sangue,vermelho
superiores,braços,inferiores,pernas

:nutrição
chocolate,doce,limão,azedo
fome,comida,sede,água|bebida
doce,mel,amargo,café
doce,açúcar,salgado,sal
almoço,dia,janta,noite
suco,fruta,chá,erva
café,quente,sorvete,gelado
frango,branca,gado,vermelha
frito,óleo,cozido,água

:agronomia
zoologia,animais,botânica,plantas
botânica,plantas,zoologia,animais

:saúde
epitelial,proteção,conjuntivo,sustentação
epitelial,proteção,sanguíneo,transporte
epitelial,proteção,nervoso,comunicação
epitelial,proteção,respiratório,respiração
sanguíneo,transporte,respiratório,respiração
sanguíneo,transporte,nervoso,comunicação
sanguíneo,transporte,conjuntivo,sustentação
sanguíneo,transporte,digestório,digestão
linfático,limpeza,digestório,digestão
linfático,limpeza,conjuntivo,sustentação
linfático,limpeza,nervoso,comunicação
linfático,limpeza,respiratório,respiração
respiratório,oxigenação,ósseo,estruturação
respiratório,oxigenação,nervoso,comunicação
respiratório,oxigenação,endócrino,regulação
respiratório,oxigenação,reprodutor,reprodução
ósseo,estrutura,sanguíneo,transporte
muscular,movimento,nervoso,comunicação
digestório,digestão,respiratório,respiração
circulatório,distribuição,linfático,limpeza
respiratório,oxigenação,urinário,excreção
endócrino,regulação,reprodutor,reprodução
endócrino,regular,reprodutor,reproduzir
reprodutor_masculino,espermatozoide,reprodutor_feminino,óvulo
masculino,espermatozoide,feminino,óvulo
reprodutor_feminino,óvulo,reprodutor_masculino,espermatozoide
feminino,óvulo,masculino,espermatozoide
sanguíneo,circulação,endócrino,regulação
isquemia,vascular,necrose,tecidual
isquemia,vaso,necrose,tecido
isquemia,vaso,necrose,tecidos
infarto,vascular,necrose,tecidual
infarto,vaso,necrose,tecido
infarto,vasos,necrose,tecidos
cardíaco,coração,cerebral,cérebro
avc,cérebro,tendinite,tendão|tendões
avc,cérebro,gastrite,estômago
avc,cérebro,pneumonia,pulmão|pulmões
alzheimer,cérebro,tendinite,tendão|tendões
alzheimer,cérebro,gastrite,estômago
alzheimer,cérebro,pneumonia,pulmão|pulmões
tendinite,tendão,avc,cérebro
tendinite,tendão,alzheimer,cérebro
tendinite,tendões,avc,cérebro
tendinite,tendões,alzheimer,cérebro
tendinite,tendão,gastrite,estômago
tendinite,tendões,gastrite,estômago
tendinite,tendões,pneumonia,pulmão|pulmões
gastrite,estômago,avc,cérebro
gastrite,estômago,alzheimer,cérebro
gastrite,estômago,tendinite,tendão|tendões
gastrite,estômago,pneumonia,pulmão|pulmões
pneumonia,pulmão,avc,cérebro
pneumonia,pulmões,avc,cérebro
pneumonia,pulmão,alzheimer,cérebro
pneumonia,pulmões,alzheimer,cérebro
pneumonia,pulmão,gastrite,estômago
pneumonia,pulmões,gastrite,estômago
pneumonia,pulmões,tendinite,tendão|tendões
