
:diversos
antigo,história,novo,futuro|porvir
programadora,programar,professora,ensinar
programadora,programar,pilota,pilotar
programadora,programar,atriz,atuar
programadora,programar,atendente,atender
programadora,programar,garimpeiro,garimpar
programadora,programar,educadora,educar
programadora,programar,socióloga,pesquisar
programadora,programar,farmacêutica,pesquisar
programadores,programar,vendedores,vender
programadores,programar,professores,ensinar
programadores,programar,pilotos,pilotar
programadores,programar,atores,atuar
programadores,programar,atendentes,atender
programadores,programar,garimpeiros,garimpar
programadores,programar,educadores,educar
programadores,programar,sociólogos,pesquisar
programadores,programar,farmacêuticos,pesquisar
sociólogo,pesquisador,vendedor,vender
sociólogo,pesquisador,professor,ensinar
sociólogo,pesquisador,piloto,pilotar
sociólogo,pesquisador,ator,atuar
sociólogo,pesquisador,atendente,atender
sociólogo,pesquisador,garimpeiro,garimpar
sociólogo,pesquisador,educador,educar
sociólogos,pesquisadores,vendedores,vender
sociólogos,pesquisadores,professores,ensinar
sociólogos,pesquisadores,pilotos,pilotar
sociólogos,pesquisadores,atores,atuar
sociólogos,pesquisadores,atendentes,atender
sociólogos,pesquisadores,garimpeiros,garimpar
sociólogos,pesquisadores,educadores,educar
socióloga,pesquisadora,vendedora,vender
socióloga,pesquisadora,professora,ensinar
socióloga,pesquisadora,pilota,pilotar
socióloga,pesquisadora,atriz,atuar
socióloga,pesquisadora,atendente,atender
socióloga,pesquisadora,garimpeiro,garimpar
socióloga,pesquisadora,educadora,educar
pensador,pensar,desaparecido,desaparecer
pensador,pensar,andarilho,andar
pensador,pensar,escritor,escrever
pensador,pensar,programador,programar
pensador,pensar,dançarino,dançar
pensador,pensar,guerreiro,guerrear|lutar
pensador,pensar,lutador,lutar
pensador,pensar,inventor,inventar
pensador,pensar,jogador,jogar
pensador,pensar,leitor,ler
pensador,pensar,descobridor,descobrir
pensador,pensar,rei,reinar|ordenar|mandar|delegar
escritor,escrever,corredor,correr
escritor,escrever,leitor,ler
escritor,escrever,programador,programar
escritor,escrever,inventor,inventar
escritor,escrever,jogador,jogar
escritor,escrever,andarilho,andar
escritor,escrever,guerreiro,guerrear|lutar
escritor,escrever,lutador,lutar
escritor,escrever,nadador,nadar
escritor,escrever,dançarino,dançar
escritor,escrever,descobridor,descobrir
escritor,escrever,rei,reinar|ordenar|mandar|delegar
pensadoras,pensar,andarilhas,andar
pensadoras,pensar,escritoras,escrever
pensadoras,pensar,programadoras,programar
pensadoras,pensar,dançarinas,dançar
pensadoras,pensar,guerreiras,guerrear|lutar
pensadoras,pensar,lutadoras,lutar
pensadoras,pensar,inventoras,inventar
pensadoras,pensar,jogadoras,jogar
pensadoras,pensar,leitoras,ler
pensadoras,pensar,descobridoras,descobrir
pensadoras,pensar,reis,reinar
escritoras,escrever,corredoras,correr
escritoras,escrever,leitoras,ler
escritoras,escrever,programadoras,programar
escritoras,escrever,inventoras,inventar
escritoras,escrever,jogadoras,jogar
escritoras,escrever,andarilhas,andar
escritoras,escrever,guerreiras,guerrear|lutar
escritoras,escrever,lutadoras,lutar
escritoras,escrever,nadadoras,nadar
escritoras,escrever,dançarinas,dançar
escritoras,escrever,descobridoras,descobrir
escritoras,escrever,rainhas,reinar

:nacionalidade e país
brasileiro,brasil,colombiano,colômbia
brasileiro,brasil,americano,américa
brasileiro,brasil,argentino,argentina
brasileiro,brasil,paraguaio,paraguai
brasileiro,brasil,chileno,chile
brasileiro,brasil,norueguês,noruega
brasileiro,brasil,dinamarquês,dinamarca
brasileiro,brasil,belga,bélgica
brasileiro,brasil,australiano,austrália
brasileiro,brasil,uruguaio,uruguai
brasileiro,brasil,mexicano,méxico
brasileiro,brasil,europeu,europa
brasileiro,brasil,alemão,alemanha
brasileiro,brasil,suéco,suécia
brasileiro,brasil,suíço,suíça
brasileiro,brasil,francês,frança
brasileiro,brasil,espanhol,espanha
brasileiro,brasil,holandês,holanda

:pessoas e países
lula,brasil,macron,frança
lula,brasil,emmanuel_macron,frança
lula,brasil,putin,russia
lula,brasil,trump,eua|usa|estados_unidos_da_américa
lula,brasil,biden,eua|usa|estados_unidos_da_américa
lula,brasil,joe_biden,eua|usa|estados_unidos_da_américa
lula,brasil,donald_trump,eua|usa|estados_unidos_da_américa
lula,brasil,coreia_do_norte,kim_jong-un|kim_jong_un
lula,brasil,china,xi_jinping
mario_quintana,brasil,pablo_neruda,chile
shakespeare,inglaterra,homero,grécia
marx,socialismo,adam_smith,liberalismo
aristóteles,grécia,voltaire,frança
michel_focault,frança,arthur_schopenhauer,alemanha

:lugares e atributos
reino_unido,metrópole,índia,colônia
reino_unido,metrópole,estados_unidos,colônia
reino_unido,metrópole,jamaica,colônia
reino_unido,metrópole,nigéria,colônia
reino_unido,metrópole,serra_leoa,colônia
reino_unido,metrópole,gana,colônia
reino_unido,metrópole,malta,colônia
portugal,metrópole,angola,colônia
portugal,metrópole,barbados,colônia
portugal,metrópole,açores,colônia
portugal,metrópole,cabo_verde,colônia
portugal,metrópole,são_tomé,colônia
portugal,metrópole,moçambique,colônia
portugal,metrópole,brasil,colônia
frança,metrópole,senegal,colônia
frança,metrópole,camarões,colônia
frança,metrópole,costa_do_marfim,colônia
frança,metrópole,marrocos,colônia
frança,metrópole,tunísia,colônia
frança,metrópole,guiné,colônia
frança,metrópole,haiti,colônia
império_espanhol,metrópole,méxico,colônia
império_espanhol,metrópole,guatemala,colônia
império_espanhol,metrópole,costa_rica,colônia
império_espanhol,metrópole,peru,colônia
império_espanhol,metrópole,bolívia,colônia
império_espanhol,metrópole,equador,colônia
império_hispánico,metrópole,méxico,colônia
império_hispánico,metrópole,guatemala,colônia
império_hispánico,metrópole,costa_rica,colônia
império_hispánico,metrópole,peru,colônia
império_hispánico,metrópole,bolívia,colônia
império_hispánico,metrópole,equador,colônia
império_hispânico,metrópole,méxico,colônia
império_hispânico,metrópole,guatemala,colônia
império_hispânico,metrópole,costa_rica,colônia
império_hispânico,metrópole,peru,colônia
império_hispânico,metrópole,bolívia,colônia
império_hispânico,metrópole,equador,colônia

:capitais e países
atenas,grécia,bagdade,iraque
atenas,grécia,banguecoque,tailândia
atenas,grécia,pequim,china
atenas,grécia,berlim,alemanha
atenas,grécia,berna,suíça
atenas,grécia,cairo,egito
atenas,grécia,camberra,austrália
atenas,grécia,hanói,vietname
atenas,grécia,havana,cuba
atenas,grécia,helsínquia,finlândia
atenas,grécia,islamabade,paquistão
atenas,grécia,cábul,afeganistão
atenas,grécia,londres,inglaterra
atenas,grécia,madrid,espanha
atenas,grécia,moscovo,rússia
atenas,grécia,oslo,noruega
atenas,grécia,ottawa,canadá
atenas,grécia,paris,frança
atenas,grécia,roma,itália
atenas,grécia,estocolmo,suécia
atenas,grécia,teerão,irão
atenas,grécia,tóquio,japão
brasília,brasil,lisboa,portugal
brasília,brasil,londres,reino_unido
brasília,brasil,madri,itália
brasília,brasil,paris,frança
brasília,brasil,atenas,grécia
brasília,brasil,washington_dc,eua|usa|estados_unidos_da_américa
brasília,brasil,cidade_do_méxico,méxico
brasíia,brasil,berlim,alemanha
brasília,brasil,pequim,china
brasília,brasil,tóquio,japão
brasília,brasil,luxemburgo,luxemburgo
lisboa,portugal,madrid,espanha
ottawa,canadá,canberra,austrália
cairo,egito,nairobi,quênia
tóquio,japão,seul,coreia_do_sul
londres,reino_unido,paris,frança
moscou,rússia,kiev,ucrânia
havana,cuba,kingston,jamaica
pequim,china,nova_délhi,índia
roma,itália,berlim,alemanha
atenas,grécia,ancara,turquia
cidade_do_méxico,méxico,lima,peru
estocolmo,suécia,oslo,noruega
viena,áustria,praga,república_tcheca
santiago,chile,bogotá,colômbia
bangkok,tailândia,hanói,vietnã
reykjavik,islândia,helsinki,finlândia
beirute,líbano,amã,jordânia
dacar,senegal,lagos,nigéria
kuala_lumpur,malásia,jacarta,indonésia
varsóvia,polônia,budapeste,hungria
rabat,marrocos,túnis,tunísia
bruxelas,bélgica,amsterdã,holanda
daca,bangladesh,katmandu,nepal
wellington,nova_zelândia,suva,fiji

:capital e estado
santa_catarina,florianópolis,rio_grande_do_sul,porto_alegre|poa
santa_catarina,florianópolis,paraná,curitiba
santa_catarina,florianópolis,são_paulo,são_paulo|sp
santa_catarina,florianópolis,rio_de_janeiro,rio_de_janeiro|rj
santa_catarina,florianópolis,espírito_santo,vitória
santa_catarina,florianópolis,pará,belém
santa_catarina,florianópolis,minas_gerais,belo_horizonte|bh
santa_catarina,florianópolis,rondônia,porto_velho|pv
santa_catarina,florianópolis,pernambuco,recife
santa_catarina,florianópolis,mato_grosso,cuiabá
santa_catarina,florianópolis,mato_grosso_do_sul,campo_grande|cg
santa_catarina,florianópolis,maranhão,são_luís|sl
santa_catarina,florianópolis,roraima,boa_vista|bv
santa_catarina,florianópolis,acre,rio_branco|rb
santa_catarina,florianópolis,bahia,salvador
santa_catarina,florianópolis,paraíba,joão_pessoa|jp
santa_catarina,florianópolis,amazonas,manaus
santa_catarina,florianópolis,rio_grande_do_norte,natal
santa_catarina,florianópolis,alagoas,maceió
santa_catarina,florianópolis,tocantins,palmas
santa_catarina,florianópolis,sergipe,aracaju
santa_catarina,florianópolis,ceará,fortaleza
santa_catarina,florianópolis,amapá,macapá
santa_catarina,florianópolis,piauí,teresina
santa_catarina,florianópolis,goiás,goiânia
sc,florianópolis,ac,rio_branco|rb
sc,florianópolis,al,maceió
sc,florianópolis,ap,macapá
sc,florianópolis,am,manaus
sc,florianópolis,ba,salvador
sc,florianópolis,ce,fortaleza
sc,florianópolis,df,brasília
sc,florianópolis,es,vitória
sc,florianópolis,go,goiânia
sc,florianópolis,ma,são_luís|sl
sc,florianópolis,mt,cuiabá
sc,florianópolis,ms,campo_grande|cg
sc,florianópolis,mg,belo_horizonte|bh
sc,florianópolis,pa,belém
sc,florianópolis,pb,joão_pessoa|jp
sc,florianópolis,pr,curitiba
sc,florianópolis,pe,recife
sc,florianópolis,pi,teresina
sc,florianópolis,rj,rio_de_janeiro|rj
sc,florianópolis,rn,natal
sc,florianópolis,rs,porto_alegre|poa
sc,florianópolis,ro,porto_velho|pv
sc,florianópolis,rr,boa_vista|bv
sc,florianópolis,sp,são_paulo|sp
sc,florianópolis,se,aracaju
sc,florianópolis,to,palmas

:universidade e localidade
ufsc,santa_catarina,unicamp,campinas
ufsc,santa_catarina,usp,são_paulo|sp
ufsc,santa_catarina,unesp,são_paulo|sp
ufsc,santa_catarina,ufmg,minas_gerais|mg
ufsc,santa_catarina,puc-rio,rio_de_janeiro|rj
ufsc,santa_catarina,unb,brasília
ufsc,santa_catarina,unifesp,são_paulo|sp
ufsc,santa_catarina,ufscar,são_carlos
ufsc,santa_catarina,puc-sp,são_paulo|sp
ufsc,santa_catarina,ufsm,santa_maria|sm
ufsc,santa_catarina,uerj,rio_de_janeiro|rj
ufsc,santa_catarina,ufrn,rio_grande_do_norte|rn
ufsc,santa_catarina,puc-pr,paraná|pr
ufsc,santa_catarina,ufpb,paraíba|pb
ufsc,santa_catarina,ufes,espírito_santo|es
ufsc,santa_catarina,ufpa,pará
ufsc,santa_catarina,puc-campinas,campinas
ufsc,santa_catarina,ufam,amazonas
ufsc,santa_catarina,ufpi,piauí|pi
ufsc,santa_catarina,ufrpe,pernambuco

:datas
primeira_guerra_mundial,1914,segunda_guerra_mundial,1939
primeira_guerra_mundial,1914-1918,segunda_guerra_mundial,1939-1945
primeira_guerra_mundial,1914_1918,segunda_guerra_mundial,1939_1945
primeira_guerra_mundial,1918,segunda_guerra_mundial,1945
i_gm,1914,ii_gm,1939
i_gm,1914-1918,ii_gm,1939-1945
i_gm,1914_1918,ii_gm,1939_1945
i_gm,1918,ii_gm,1945
1776,independência_eua,1789,revolução_francesa
1776,eua,1789,frança
1776,estados_unidos_da_américa,1789,frança
1492,descobrimento_américa,1453,queda_constantinopla
1492,américa,1453,constantinopla
1969,lua,1957,lançamento_sputnik
1969,lua,1957,sputnik
1989,queda_muro_berlim,1991,dissolução_união_soviética
2001,ataques_11_setembro,1989,protestos_praça_paz_celestial
476,queda_império_romano_ocidente,1453,queda_império_romano_oriente
476,império_romano_ocidente,1453,império_romano_oriente
732,batalha_poitiers,1066,batalha_hastings
1215,magna_carta,1787,constituição_dos_eua|constituição_dos_estados_unidos_da_américa
1865,abolição_escravatura_eua,1888,abolição_escravatura_brasil
1865,eua,1888,brasil
1947,independência_índia,1960,independência_nigéria
1947,índia,1960,nigéria
1994,apartheid,1981,independência_belize
800,coroação_carlos_magno,962,fundação_sacro_império_romano-germânico
1347,peste_negra,1918,gripe_espanhola
1979,revolução_iraniana,2011,primavera_árabe
1979,iraniana,2011,árabe
1521,dieta_worms,1517,95_teses_martinho_lutero
1948,declaração_universal_direitos_humanos,1864,primeira_convenção_genebra
622,hégira,1054,cisma_oriente
1607,fundação_jamestown,1620,chegada_mayflower
1920,fundação_liga_nações,1945,fundação_nações_unidas
1953,coroação_rainha_elizabeth_ii,2016,brexit
1953,elizabeth_ii,2016,brexit
1848,revoluções_europeias,1917,revolução_russa
1848,europa,1917,rússia
1871,unificação_alemanha,1861,unificação_itália
1871,alemanha,1861,itália
1990,reunificação_alemanha,1992,assinatura_tratado_maastricht
1964,golpe_militar_brasil,1973,golpe_militar_chile
1964,brasil,1973,chile
1789,revolução_francesa,1791,revolução_haitiana
1789,frança,1791,haiti
luís_xiv,frança,joão_vi,brasil
1959,cuba,1949,china
1822,brasil,1829,uruguai

:gênero e pluralidade
irmão,irmã,irmãos,irmãs
irmão,irmã,pai,mãe
irmão,irmã,avô,avó
irmão,irmã,neto,neta
irmão,irmã,noivo,noiva
irmão,irmã,ele,ela
irmão,irmã,dele,dela
irmão,irmã,marido,mulher
irmão,irmã,rei,rainha
irmão,irmã,homem,mulher
irmão,irmã,sobrinho,sobrinha
irmão,irmã,príncipe,princesa
irmão,filho,irmã,filha
irmão,irmã,filhos,filhas
irmão,irmã,meio-irmão,meia-irmã
irmão,irmã,padrasto,madrasta
irmão,irmã,enteado,enteada
irmão,irmã,tio,tia
irmão,irmã,rapaz,rapariga
irmãos,irmãs,pai,mãe
irmãos,irmãs,avô,avó
irmãos,irmãs,neto,neta
irmãos,irmãs,noivo,noiva
irmãos,irmãs,ele,ela
irmãos,irmãs,dele,dela
irmãos,irmãs,marido,mulher
irmãos,irmãs,rei,rainha
irmãos,irmãs,homem,mulher
irmãos,irmãs,sobrinho,sobrinha
irmãos,irmãs,príncipe,princesa
irmãos,irmãs,filho,filha
irmãos,irmãs,filhos,filhas
irmãos,irmãs,meio-irmão,meia-irmã
irmãos,irmãs,padrasto,madrasta
irmãos,irmãs,enteado,enteada
irmãos,irmãs,tios,tias
irmãos,irmãs,rapaz,rapariga
irmãos,irmãs,irmão,irmã
enteado,enteada,rapaz,rapariga
enteado,enteada,irmão,irmã
enteado,enteada,irmãos,irmãs
enteado,enteada,pai,mãe
enteado,enteada,avô,avó
enteado,enteada,neto,neta
enteado,enteada,noivo,noiva
enteado,enteada,ele,ela
enteado,enteada,dele,dela
enteado,enteada,marido,mulher
enteado,enteada,rei,rainha
enteado,enteada,homem,mulher
enteado,enteada,sobrinho,sobrinha
enteado,enteada,príncipe,princesa
enteado,enteada,filho,filha
enteado,enteada,filhos,filhas
enteado,enteada,meio-irmão,meia-irmã
enteado,enteada,padrasto,madrasta
tio,tia,rapaz,rapariga
tio,tia,irmão,irmã
tio,tia,irmãos,irmãs
tio,tia,pai,mãe
tio,tia,avô,avó
tio,tia,neto,neta
tio,tia,noivo,noiva
tio,tia,ele,ela
tio,tia,dele,dela
tio,tia,marido,mulher
tio,tia,rei,rainha
tio,tia,homem,mulher
tio,tia,sobrinho,sobrinha
tio,tia,príncipe,princesa
tio,tia,filho,filha
tio,tia,filhos,filhas
tio,tia,meio-irmão,meia-irmã
tio,tia,padrasto,madrasta
tio,tia,enteado,enteada
homem,negro,mulher,negra
homem,branco,mulher,branca
homem,rei,mulher,rainha
homem,príncipe,mulher,princesa
homem,deus,mulher,deusa
homem,tio,mulher,tia
homem,ator,mulher,atriz
homem,noivo,mulher,noiva
homem,padrasto,mulher,madrasta
homem,irmão,mulher,irmã
homem,avô,mulher,avó
homem,pai,mulher,mãe
pai,marido,mulher,esposa
homem,marido,mulher,esposa
homem,enteado,mulher,enteada
escritor,homem,escritora,mulher

:política
decolonialidade,américa,eurocentrismo,europa
liberalismo,direita,socialismo,esquerda
marxismo,urss,liberalismo,eua
eixo,alemanha,aliados,inglaterra
deputados,câmara,senadores,senado
república,presidente,monarquia,rei
legislativo,vereador,executivo,prefeito
vargas,estado_novo,collor,redemocratização
integralismo,fascismo,socialismo,comunismo
fascismo,nazismo,socialismo,comunismo
democracia,liberdade,ditadura,opressão|censura
socialismo,igualdade,democracia,liberdade

:letra
teoria,fundamentação,alicerce_teórico,prática
cânone,clássicos,autoridade,reconhecimento|estabelecido
poéticas,abordagens,técnicas,expressões
mimese,imitação,representação,reflexo
grandeza,heroísmo,narrativa,aventura
tragédia,dor,fatalidade,catarse
comédia,humor,riso,descontração
platão,filosofia,shakespeare,literatura
idealismo,perfeição,realismo,imperfeição
mescla,mistura,fusão,combinação
hibridismo,heterogeneidade,miscigenação,diversificação
drama,tensão,atuação,encenação
shakespeare,dramaturgo,camões,poeta
poesia,prosa,tragédia,comédia
modernidade,inovação,antiguidade,conservação
realismo,fidedignidade,verossimilhança,representação
crise,incerteza,estabilidade,certeza
crise_da_representação,pós-modernidade,fim,vanguarda
vanguardas_literárias,experimentação,pós-modernidade,pluralidade|diversidade|fragmentação
morfema,palavra,frase,oração|sentença|período|parágrafo|texto
singular,plural,feminino,masculino
sufixo,prefixo,fim,início
água,potável,alimento,comestível
água,potável,comida,comestível
feminino,masculino,lua,sol
raiz,fixa,flexão,variável
conteúdo,semântica,forma,sintática
gênero,masculino,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
gênero,feminino,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
gênero,não_binário,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
gênero,cisgênero,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
gênero,transgênero,tempo,presente|passado|futuro|pretérito|imperativo|infinitivo
nome,sujeito,característica,adjetivo
predicado,declaração,qualidade,adjetivo
sintática,sintagma,conceito,significado
substantivo,pessoa,nominativo,designação
beleza,belo,feiura,feio
morfologia,estrutura,semântica,significado
letra,palavra,palavra,frase
certeza,precisão,ambiguidade,incerteza|vago
acarretamento,implicação,anáfora,repetição
pressuposição,implícito,inferência,explícito
significado,significante,denotação,conotação
sinonímia,similar,antonímia,oposto
polissemia,múltiplos,homonímia,iguais
hiperonímia,geral,hiponímia,específico
ambiguidade,duplo_sentido,unívoco,claro
metonímia,substituição,metáfora,todo
referencial,direto,anafórico,repetido
tipologia_textual,classificação,gêneros,discurso
prática_pedagógica,ensino,aprendizagem,desenvolvimento
linguagem,expressão,comunicação,linguística
coesão,conexões,ligações,continuidade|coesão
coerência,sentido,lógica,compreensão
intertextualidade,referências,diálogo,interconexões
análise,interpretação,crítica,reflexão
língua,dialeto,nacional,regional
escrita,texto,oralidade,voz
libras,gestos,fala,som|voz
discurso,argumentação,retórica,persuasão
semântica,significado,hermenêutica,interpretação
pragmática,uso,sintática,forma
análise_do_discurso,texto,ideologia,materialidade|ideias

:direito
teoria_social,estrutura,direito,ferramenta
